Device ID,Date,Time,Voltage,Min Voltage,Max Voltage,Current,Min Current,Max Current,Power,Relay,Charger,Alarm,Fault Start,Start Voltage,Fault,Fault Resolve,Resolve Voltage,Fault Duration,Status
TVS001,15-08-2026,01:26:26,,,,,,,,ON,,HIGH VOLTAGE,01:26:26,250.6,HIGH VOLTAGE,02:43:31,188.2,1 hr 17 min 5 sec,RESOLVED
TVS001,15-08-2026,02:44:08,,,,,,,,ON,,HIGH VOLTAGE,02:44:08,251.0,HIGH VOLTAGE,02:44:20,249.9,0 min 12 sec,RESOLVED
TVS001,15-08-2026,02:44:26,,,,,,,,ON,,HIGH VOLTAGE,02:44:26,251.3,HIGH VOLTAGE,02:44:46,249.5,0 min 20 sec,RESOLVED
TVS001,15-08-2026,02:44:50,,,,,,,,ON,,HIGH VOLTAGE,02:44:50,252.3,HIGH VOLTAGE,02:44:56,249.9,0 min 6 sec,RESOLVED
TVS001,15-08-2026,02:45:02,,,,,,,,ON,,HIGH VOLTAGE,02:45:02,251.7,HIGH VOLTAGE,02:45:20,249.2,0 min 18 sec,RESOLVED
TVS001,15-08-2026,02:45:28,,,,,,,,ON,,HIGH VOLTAGE,02:45:28,250.6,HIGH VOLTAGE,02:45:31,250.0,0 min 3 sec,RESOLVED
TVS001,15-08-2026,02:45:33,,,,,,,,ON,,HIGH VOLTAGE,02:45:33,250.2,HIGH VOLTAGE,02:45:35,249.4,0 min 2 sec,RESOLVED
TVS001,15-08-2026,02:45:38,,,,,,,,ON,,HIGH VOLTAGE,02:45:38,252.2,HIGH VOLTAGE,02:45:56,249.7,0 min 18 sec,RESOLVED
TVS001,15-08-2026,02:45:58,,,,,,,,ON,,HIGH VOLTAGE,02:45:58,251.7,HIGH VOLTAGE,02:46:02,249.5,0 min 4 sec,RESOLVED
TVS001,15-08-2026,02:46:04,,,,,,,,ON,,HIGH VOLTAGE,02:46:04,251.4,HIGH VOLTAGE,02:46:16,249.8,0 min 12 sec,RESOLVED
TVS001,15-08-2026,02:46:18,,,,,,,,ON,,HIGH VOLTAGE,02:46:18,250.1,HIGH VOLTAGE,02:46:20,249.4,0 min 2 sec,RESOLVED
TVS001,15-08-2026,02:46:37,,,,,,,,ON,,HIGH VOLTAGE,02:46:37,250.7,HIGH VOLTAGE,02:46:39,249.1,0 min 2 sec,RESOLVED
TVS001,15-08-2026,02:46:41,,,,,,,,ON,,HIGH VOLTAGE,02:46:41,250.4,HIGH VOLTAGE,02:46:42,249.0,0 min 1 sec,RESOLVED
TVS001,15-08-2026,02:46:46,,,,,,,,ON,,HIGH VOLTAGE,02:46:46,251.4,HIGH VOLTAGE,02:46:47,249.6,0 min 1 sec,RESOLVED
TVS001,15-08-2026,02:46:54,,,,,,,,ON,,HIGH VOLTAGE,02:46:54,251.9,HIGH VOLTAGE,02:46:56,248.8,0 min 2 sec,RESOLVED
TVS001,15-08-2026,02:46:58,,,,,,,,ON,,HIGH VOLTAGE,02:46:58,251.3,HIGH VOLTAGE,02:47:12,249.4,0 min 14 sec,RESOLVED
TVS001,15-08-2026,02:47:30,,,,,,,,ON,,HIGH VOLTAGE,02:47:30,251.3,HIGH VOLTAGE,02:47:33,249.0,0 min 3 sec,RESOLVED
TVS001,15-08-2026,02:47:35,,,,,,,,ON,,HIGH VOLTAGE,02:47:35,253.2,HIGH VOLTAGE,02:47:41,249.8,0 min 6 sec,RESOLVED
TVS001,15-08-2026,02:47:47,,,,,,,,ON,,HIGH VOLTAGE,02:47:47,251.7,HIGH VOLTAGE,02:47:49,249.8,0 min 2 sec,RESOLVED
TVS001,15-08-2026,02:47:51,,,,,,,,ON,,HIGH VOLTAGE,02:47:51,251.9,HIGH VOLTAGE,02:47:54,249.5,0 min 3 sec,RESOLVED
TVS001,15-08-2026,02:48:09,,,,,,,,ON,,HIGH VOLTAGE,02:48:09,250.9,HIGH VOLTAGE,02:48:10,249.2,0 min 1 sec,RESOLVED
TVS001,15-08-2026,02:48:16,,,,,,,,ON,,HIGH VOLTAGE,02:48:16,250.3,HIGH VOLTAGE,02:48:18,248.7,0 min 2 sec,RESOLVED
TVS001,15-08-2026,02:48:21,,,,,,,,ON,,HIGH VOLTAGE,02:48:21,252.4,HIGH VOLTAGE,02:48:37,249.2,0 min 16 sec,RESOLVED
TVS001,15-08-2026,02:48:41,,,,,,,,ON,,HIGH VOLTAGE,02:48:41,251.8,HIGH VOLTAGE,02:48:49,249.5,0 min 8 sec,RESOLVED
TVS001,15-08-2026,02:49:17,,,,,,,,ON,,HIGH VOLTAGE,02:49:17,252.6,HIGH VOLTAGE,02:49:27,249.8,0 min 10 sec,RESOLVED
TVS001,15-08-2026,02:49:39,,,,,,,,ON,,HIGH VOLTAGE,02:49:39,251.3,HIGH VOLTAGE,02:49:51,250.0,0 min 12 sec,RESOLVED
TVS001,15-08-2026,02:50:11,,,,,,,,ON,,HIGH VOLTAGE,02:50:11,250.8,HIGH VOLTAGE,02:50:15,248.9,0 min 4 sec,RESOLVED
TVS001,15-08-2026,02:50:31,,,,,,,,ON,,HIGH VOLTAGE,02:50:31,251.7,HIGH VOLTAGE,02:50:39,250.0,0 min 8 sec,RESOLVED
TVS001,15-08-2026,02:50:41,,,,,,,,OFF,,HIGH VOLTAGE,02:50:41,250.6,HIGH VOLTAGE,,,,ACTIVE
