Device ID,Date,Fault Start,Start Voltage,Fault,Relay,Fault Resolve,Resolve Voltage,Fault Duration,Status
TVS001,10-08-2026,00:37:52,37.7,LOW VOLTAGE,ON,00:40:14,189.3,2 min 22 sec,RESOLVED
TVS001,10-08-2026,00:40:16,159.8,LOW VOLTAGE,ON,00:45:42,185.1,5 min 26 sec,RESOLVED
TVS001,10-08-2026,00:45:49,176.1,LOW VOLTAGE,ON,00:46:00,187.8,0 min 11 sec,RESOLVED
TVS001,10-08-2026,00:46:06,174.6,LOW VOLTAGE,ON,00:49:34,190.2,3 min 28 sec,RESOLVED
TVS001,10-08-2026,00:49:44,156.9,LOW VOLTAGE,ON,00:50:04,186.9,0 min 20 sec,RESOLVED
TVS001,10-08-2026,00:54:26,165.1,LOW VOLTAGE,ON,01:01:09,190.3,6 min 43 sec,RESOLVED
TVS001,10-08-2026,01:01:19,149.9,LOW VOLTAGE,OFF,,,,ACTIVE
